Date,Country,Confirmed ,Death ,Recovered
2/14/2020,Nigeria,0,0,0
2/15/2020,Nigeria,0,0,0
2/16/2020,Nigeria,0,0,0
2/17/2020,Nigeria,0,0,0
2/18/2020,Nigeria,0,0,0
2/19/2020,Nigeria,0,0,0
2/20/2020,Nigeria,0,0,0
2/21/2020,Nigeria,0,0,0
2/22/2020,Nigeria,0,0,0
2/23/2020,Nigeria,0,0,0
2/24/2020,Nigeria,0,0,0
2/25/2020,Nigeria,0,0,0
2/26/2020,Nigeria,0,0,0
2/27/2020,Nigeria,0,0,0
2/28/2020,Nigeria,1,0,0
2/29/2020,Nigeria,1,0,0
3/1/2020,Nigeria,1,0,0
3/2/2020,Nigeria,1,0,0
3/3/2020,Nigeria,1,0,0
3/4/2020,Nigeria,1,0,0
3/5/2020,Nigeria,1,0,0
3/6/2020,Nigeria,1,0,0
3/7/2020,Nigeria,1,0,0
3/8/2020,Nigeria,1,0,0
3/9/2020,Nigeria,2,0,0
3/10/2020,Nigeria,2,0,0
3/11/2020,Nigeria,2,0,0
3/12/2020,Nigeria,2,0,0
3/13/2020,Nigeria,2,0,0
3/14/2020,Nigeria,2,0,0
3/15/2020,Nigeria,2,0,0
3/16/2020,Nigeria,2,0,0
3/17/2020,Nigeria,3,0,0
3/18/2020,Nigeria,8,0,1
3/19/2020,Nigeria,8,0,1
3/20/2020,Nigeria,12,0,1
3/21/2020,Nigeria,22,0,1
3/22/2020,Nigeria,30,0,2
3/23/2020,Nigeria,40,1,2
3/24/2020,Nigeria,44,1,2
3/25/2020,Nigeria,51,1,2
3/26/2020,Nigeria,65,1,2
3/27/2020,Nigeria,70,1,3
3/28/2020,Nigeria,89,1,3
3/29/2020,Nigeria,111,1,3
3/30/2020,Nigeria,131,2,8
3/31/2020,Nigeria,135,2,8
4/1/2020,Nigeria,174,2,9
4/2/2020,Nigeria,184,2,20
4/3/2020,Nigeria,210,4,25
4/4/2020,Nigeria,214,4,25
4/5/2020,Nigeria,232,5,33
4/6/2020,Nigeria,238,5,35
4/7/2020,Nigeria,254,6,44
4/8/2020,Nigeria,276,6,44
4/9/2020,Nigeria,288,7,51
4/10/2020,Nigeria,305,7,58
4/11/2020,Nigeria,318,10,70
4/12/2020,Nigeria,323,10,85
4/13/2020,Nigeria,343,10,91
4/14/2020,Nigeria,373,11,99
4/15/2020,Nigeria,407,12,128
4/16/2020,Nigeria,442,13,152
4/17/2020,Nigeria,493,17,159
4/18/2020,Nigeria,542,19,166
4/19/2020,Nigeria,627,21,170
4/20/2020,Nigeria,665,22,188
4/21/2020,Nigeria,665,22,188
4/22/2020,Nigeria,873,28,197
4/23/2020,Nigeria,981,31,197
4/24/2020,Nigeria,1095,32,208
4/25/2020,Nigeria,1182,35,222
4/26/2020,Nigeria,1273,40,239
4/27/2020,Nigeria,1337,40,255
4/28/2020,Nigeria,1532,44,255
4/29/2020,Nigeria,1728,51,307
4/30/2020,Nigeria,1932,58,319
5/1/2020,Nigeria,2170,68,351
5/2/2020,Nigeria,2388,85,351
5/3/2020,Nigeria,2558,87,400
5/4/2020,Nigeria,2802,93,417
5/5/2020,Nigeria,2950,98,481
5/6/2020,Nigeria,3145,103,534
5/7/2020,Nigeria,3526,107,601
5/8/2020,Nigeria,3912,117,679
5/9/2020,Nigeria,4151,128,745
5/10/2020,Nigeria,4399,143,778
5/11/2020,Nigeria,4641,150,902
5/12/2020,Nigeria,4787,158,959
5/13/2020,Nigeria,4971,164,1070
5/14/2020,Nigeria,5162,167,1180
5/15/2020,Nigeria,5450,171,1320
5/16/2020,Nigeria,5621,176,1472
5/17/2020,Nigeria,5959,182,1594
5/18/2020,Nigeria,6175,191,1644
5/19/2020,Nigeria,6401,192,1734
5/20/2020,Nigeria,6677,200,1840
5/21/2020,Nigeria,7016,211,1907
5/22/2020,Nigeria,7261,221,2007
5/23/2020,Nigeria,7526,221,2174
5/24/2020,Nigeria,7839,226,2263
5/25/2020,Nigeria,8068,233,2311
5/26/2020,Nigeria,8344,249,2385
5/27/2020,Nigeria,8733,254,2501
5/28/2020,Nigeria,8915,259,2592
5/29/2020,Nigeria,9302,261,2697
5/30/2020,Nigeria,9855,273,2856
5/31/2020,Nigeria,10162,287,3007
6/1/2020,Nigeria,10578,299,3122
6/2/2020,Nigeria,10819,314,3240
6/3/2020,Nigeria,11166,315,3329
6/4/2020,Nigeria,11516,323,3535
6/5/2020,Nigeria,11844,333,3696
6/6/2020,Nigeria,12233,342,3826
6/7/2020,Nigeria,12486,354,3959
6/8/2020,Nigeria,12801,361,4040
6/9/2020,Nigeria,13464,365,4206
6/10/2020,Nigeria,13873,382,4351
6/11/2020,Nigeria,14554,387,4494
6/12/2020,Nigeria,15181,399,4891
6/13/2020,Nigeria,15682,407,5101
6/14/2020,Nigeria,16085,420,5220
6/15/2020,Nigeria,16658,424,5349
6/16/2020,Nigeria,17148,455,5623
6/17/2020,Nigeria,17735,469,5967
6/18/2020,Nigeria,18480,475,6307
6/19/2020,Nigeria,19147,487,6581
6/20/2020,Nigeria,19808,506,6718
6/21/2020,Nigeria,20244,518,6879
6/22/2020,Nigeria,20919,525,7109
6/23/2020,Nigeria,21371,533,7338
6/24/2020,Nigeria,22020,542,7613
6/25/2020,Nigeria,22614,549,7822
6/26/2020,Nigeria,23298,554,8253
6/27/2020,Nigeria,24077,558,8625
6/28/2020,Nigeria,24567,565,9007
6/29/2020,Nigeria,25133,573,9402
6/30/2020,Nigeria,25694,590,9746
7/1/2020,Nigeria,26484,603,10152
7/2/2020,Nigeria,27110,616,10801
7/3/2020,Nigeria,27564,628,11069
7/4/2020,Nigeria,28167,634,11462
7/5/2020,Nigeria,28711,645,11665
7/6/2020,Nigeria,29286,654,11828
7/7/2020,Nigeria,29789,669,12108
7/8/2020,Nigeria,30249,684,12373
7/9/2020,Nigeria,30748,689,12546
7/10/2020,Nigeria,31323,709,12795
7/11/2020,Nigeria,31987,724,13103
7/12/2020,Nigeria,32558,740,13447
7/13/2020,Nigeria,33153,744,13671
